x,y,m
-2.38816,2.18057,i
-0.179272,1.97918,i
2.03204,2.52343,i
6.27599,5.49609,i
4.83675,11.2602,i
8.71338,10.7052,i
8.07896,13.0983,i
5.59939,14.0072,i
8.63609,16.701,i
10.9946,21.3592,i
8.49967,23.9408,i
14.3018,25.0834,i
14.1609,21.7061,i
10.115,28.527,i
14.5481,29.4131,i
15.583,27.9136,i
19.5194,32.2657,i
21.9286,38.9254,i
19.772,38.3608,i
17.3667,37.3037,i
17.9895,39.1588,i
22.8842,39.8504,i
23.9665,44.3883,i
18.3488,43.5046,i
23.8793,48.6248,i
26.6535,50.4145,i
21.6805,54.833,i
31.7677,54.3642,o
28.9698,55.152,i
26.1639,61.275,i
33.1448,64.1975,i
28.2847,66.3388,i
33.4268,63.4093,i
35.6634,69.701,i
37.1983,72.1563,i
30.1506,66.1451,i
36.7002,70.372,i
35.6852,75.8759,i
35.5212,74.6483,i
77.2365,13.0188,o
7.7996,87.9104,o
10.7228,18.3199,i
2.75915,73.0152,o
66.9799,31.9742,o
91.0914,73.1067,o
4.62515,34.9032,o
17.622,72.7957,o
77.2061,2.44922,o
63.9607,87.9459,o
6.20151,28.7761,o
40.4247,18.6828,o
1.55914,4.41704,i
37.1696,9.72731,o
86.8189,65.5223,o
33.3903,90.7641,o
72.7234,62.9652,o
56.6171,62.796,o
12.4683,54.5118,o
80.3112,90.5351,o
22.9089,30.3642,o
31.8133,86.9525,o
10.0835,73.8795,o
92.4615,99.7134,o
82.9887,90.7723,o
9.38985,15.2831,i
63.4348,48.9947,o
53.7981,85.5112,o
87.5129,29.8804,o
0.536569,18.121,o
60.1411,91.4664,o
76.2469,82.4451,o
55.5711,83.3995,o
94.8783,18.8093,o
28.508,34.4873,o
28.7666,80.1297,o
40.6287,46.7131,o
7.60506,18.2733,i
19.0484,47.2164,i
65.7102,91.9838,o
71.6852,13.2735,o
88.4824,22.9772,o
77.5714,43.3363,o
52.9721,1.31617,o
20.904,33.5996,i
7.76073,34.5761,o
20.3215,43.8705,i
31.8564,9.9102,o
60.6481,13.2751,o
14.9378,60.1624,o
50.2421,18.3772,o
66.0647,49.0537,o
45.8202,0.00198735,o
33.4014,76.9722,i
72.3941,27.033,o
44.0158,74.0154,o
77.0131,58.8387,o
1.20083,82.3413,o
10.1663,65.1927,o
93.9041,46.8533,o
